id,name_en,name_sanskrit,food_group,calories_per_100g,protein_g,carbs_g,fat_g,fiber_g,vitamins,minerals,rasa,virya,vipaka,guna,dosha_effect,seasonal_suitability,digestion_level,region_common,contraindications,suggested_combinations,therapeutic_uses,recommended_portion
1,Rice,Shali,Grain,328.3823956528867,9.293777793156362,70.32201601417634,1.2942042637846982,3.2509741975945423,B12,"Iron,Manganese,Magnesium,Potassium","Katu,Amla",Ushna,Madhura,Snigdha,Reduces Pitta,"Monsoon,Summer",Laghu,East India,,Black pepper + Turmeric,"Weight management,Immunity enhancer",1 cup cooked
2,Wheat,Godhum,Grain,320.0978104200227,8.443847249322786,74.72159098297288,3.157248547351806,4.410784054441588,E,Manganese,"Tikta,Amla",Ushna,Amla,Ruksha,"Aggravates Vata,Balances Pitta","Summer,Monsoon",Laghu,East India,,"Coriander + Coconut,Milk + Ghee",Weight management,100g
3,Barley,Yava,Grain,357.53776074039797,7.82853892426558,74.06381145207457,5.127274215392679,4.632344071182996,"B1,A,B3,B12","Phosphorus,Zinc,Selenium","Amla,Katu",Ushna,Madhura,"Guru,Snigdha","Aggravates Vata,Balances Vata","All,Spring",Guru,Coastal,"Ulcer,Heart disease","Cloves + Tea,Turmeric + Milk,Cinnamon + Milk",Energy booster,100g
4,Mung Dal,Mudga,Legume,82.88417013324178,10.66169899318663,26.73668579785181,0.455218738809817,7.804201508288832,"B3,B12,B2","Zinc,Sodium,Manganese,Copper,Magnesium","Katu,Lavana,Kashaya",Ushna,Katu,"Laghu,Guru","Reduces Pitta,Reduces Kapha",Autumn,Laghu,Pan-India,"Bloating,Gas,Vata imbalance","Turmeric + Milk,Black pepper + Turmeric","Weight management,Energy booster",1/2 cup cooked
5,Urad Dal,Urad,Legume,79.63913278009491,8.277851248991904,16.429866279653105,5.499425346315373,8.001289889159068,"A,B3,D",,"Amla,Tikta",Shita,Katu,"Ruksha,Laghu","Aggravates Vata,Balances Kapha,Aggravates Kapha","Winter,Spring",Guru,North India,"Bloating,Gas,Vata imbalance","Ginger + Honey,Cloves + Tea,Fennel + Mint","Liver support,Anemia",50g
6,Toor Dal,Arhar,Legume,82.3983599344039,8.589597486387412,25.111515159852562,4.389634060154776,8.020111738647705,B3,"Sodium,Manganese,Selenium",Kashaya,Shita,Katu,Snigdha,Reduces Pitta,All,Guru,"South India,West India","Bloating,Gas,Vata imbalance,Hypertension","Cardamom + Tea,Ginger + Honey","Respiratory health,Anemia",50g
7,Milk,Ksheera,Dairy,32.36755312218129,3.5477082813645033,9.280541376969767,3.957030991122234,0.7704764613759956,"E,B6","Calcium,Sodium,Zinc","Amla,Tikta",Shita,Katu,"Manda,Guru","Aggravates Pitta,Aggravates Kapha,Balances Vata",Winter,Laghu,"South India,East India","Lactose intolerance,Kapha imbalance","Fennel + Mint,Milk + Ghee,Ginger + Honey","Joint health,Weight management,Skin health",1 glass
8,Ghee,Ghrita,Dairy,84.39951230693119,3.1279922787915195,7.3863501961226685,7.182466673841673,0.0,"A,K,B1,D",,"Tikta,Kashaya",Ushna,Katu,Teekshna,"Balances Vata,Aggravates Kapha,Aggravates Pitta","Monsoon,Autumn",Laghu,"East India,South India","Lactose intolerance,Kapha imbalance,Heart disease",Cumin + Rice,"Cooling agent,Immunity enhancer",100ml
9,Curd,Dadhi,Dairy,108.31190000707265,3.590973868668235,8.2197696026998,2.882161822178962,0.39930398424552727,B2,"Copper,Zinc,Calcium","Tikta,Kashaya",Ushna,Madhura,Laghu,Aggravates Kapha,Winter,Guru,East India,"Lactose intolerance,Kapha imbalance,Obesity",Cloves + Tea,Anemia,2 tbsp
10,Almonds,Badam,Nut,574.2773622427811,21.122483569548937,13.18746625294666,54.43652374051238,9.780951217455474,,Manganese,"Amla,Tikta,Katu",Ushna,Amla,Manda,"Aggravates Vata,Aggravates Kapha,Reduces Vata","Monsoon,Summer",Guru,"Coastal,Pan-India",,"Coriander + Coconut,Cumin + Rice","Immunity enhancer,Joint health,Anemia",handful
